maquina,referencia,tiempo_ciclo
t48,008091,75
t48,031100,80
t48,03800,110
t48,06700,81
t48,081208,75
t48,081290,100
t48,081404,106
t48,081602,56
t48,081730,90
t48,081803,90
t48,081806,98
t48,081901,52
t48,081906,57
t48,081910,57
t48,081GJ1,100
t48,086503,88
t48,091135,85
t48,091177,115
t48,091232,90
t48,091502,85
t48,081502,85
t48,09400,90
t48,124203,66
t48,563404,110
t48,818500,52
t48,902081,45
t48,918506,115
luk1,124203,70
luk2,081906,75
luk2,081901,61
luk2,563404,106
luk3,081000,95
luk3,081290,113
luk3,03304,100
luk3,081602,100
luk3,081803,105
luk6,124203,95
vw1,081216,85
vw1,918506,110
coroa,081103,113
coroa,086503,85
coroa,091232,115
coroa,06700,75
coroa,81103,113
coroa,081602,115
coroa,081803,106
coroa,081901,65
coroa,081906,65
coroa,902081,76
coroa,091232,110
coroa,918506,97
coroa,918801,85
t48,904802,80 
