id,ejecucion_id,recurso,seccion,fecha,h_ini,h_fin,tiempo,proceso,incidencia,cantidad,malas,recuperadas,referencia
129,1,luk3,LINEAS,2026-03-02,06:00,14:00,4.61,Producción,,400.0,8.0,0.0,03304
757,2,luk3,LINEAS,2026-03-02,06:00,14:00,4.61,Producción,,400.0,8.0,0.0,03304
130,1,luk3,LINEAS,2026-03-02,06:01,06:39,0.63,Incidencia,MANTENIMIENTO PRIMER NIVEL,0.0,8.0,0.0,03304
758,2,luk3,LINEAS,2026-03-02,06:01,06:39,0.63,Incidencia,MANTENIMIENTO PRIMER NIVEL,0.0,8.0,0.0,03304
131,1,luk3,LINEAS,2026-03-02,06:57,07:05,0.13,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
759,2,luk3,LINEAS,2026-03-02,06:57,07:05,0.13,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
132,1,luk3,LINEAS,2026-03-02,07:17,07:28,0.18,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
760,2,luk3,LINEAS,2026-03-02,07:17,07:28,0.18,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
133,1,luk3,LINEAS,2026-03-02,07:44,07:49,0.08,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
761,2,luk3,LINEAS,2026-03-02,07:44,07:49,0.08,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
134,1,luk3,LINEAS,2026-03-02,07:51,07:57,0.1,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
762,2,luk3,LINEAS,2026-03-02,07:51,07:57,0.1,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
135,1,luk3,LINEAS,2026-03-02,08:01,08:15,0.23,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
763,2,luk3,LINEAS,2026-03-02,08:01,08:15,0.23,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
136,1,luk3,LINEAS,2026-03-02,08:23,09:33,1.17,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
764,2,luk3,LINEAS,2026-03-02,08:23,09:33,1.17,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
137,1,luk3,LINEAS,2026-03-02,09:34,09:49,0.25,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
765,2,luk3,LINEAS,2026-03-02,09:34,09:49,0.25,Incidencia,PARADA ROBOT,0.0,8.0,0.0,03304
138,1,luk3,LINEAS,2026-03-02,09:49,10:26,0.62,Incidencia,CORRECCIÓN DE CONO,0.0,8.0,0.0,03304
766,2,luk3,LINEAS,2026-03-02,09:49,10:26,0.62,Incidencia,CORRECCIÓN DE CONO,0.0,8.0,0.0,03304
139,1,luk3,LINEAS,2026-03-02,14:00,18:59,4.42,Producción,,417.0,1.0,0.0,03304
767,2,luk3,LINEAS,2026-03-02,14:00,18:59,4.42,Producción,,417.0,1.0,0.0,03304
140,1,luk3,LINEAS,2026-03-02,14:31,14:40,0.15,Incidencia,PARADA ROBOT,0.0,1.0,0.0,03304
768,2,luk3,LINEAS,2026-03-02,14:31,14:40,0.15,Incidencia,PARADA ROBOT,0.0,1.0,0.0,03304
141,1,luk3,LINEAS,2026-03-02,15:51,16:02,0.18,Incidencia,PARADA ROBOT,0.0,1.0,0.0,03304
769,2,luk3,LINEAS,2026-03-02,15:51,16:02,0.18,Incidencia,PARADA ROBOT,0.0,1.0,0.0,03304
142,1,luk3,LINEAS,2026-03-02,18:44,18:58,0.23,Incidencia,RECUPERAR PIEZAS,0.0,1.0,0.0,03304
770,2,luk3,LINEAS,2026-03-02,18:44,18:58,0.23,Incidencia,RECUPERAR PIEZAS,0.0,1.0,0.0,03304
143,1,luk3,LINEAS,2026-03-02,18:59,20:08,1.15,Preparación,,0.0,0.0,0.0,081000
